"Time","Force 1 Monitor: Force 1 Monitor (N)"
0.0025,0.01000444441959095
0.005,-0.0037519488988796293
0.0075,3.946783997527066E-4
0.01,4.558846580127585E-4
0.0125,4.304071696093752E-4
0.015000000000000001,4.107743703582039E-4
0.0175,4.0317899227015463E-4
0.02,3.9994018002037344E-4
0.0225,3.995440448421769E-4
0.024999999999999998,4.0106843004644965E-4
0.027499999999999997,4.0402923298497564E-4
0.029999999999999995,4.0778782052024426E-4
0.032499999999999994,4.1222472696708645E-4
0.034999999999999996,4.1694021695931545E-4
0.0375,4.217207112548286E-4
0.04,4.2637059632036193E-4
0.0425,4.3083814695983917E-4
0.045000000000000005,4.349476308988878E-4
0.04750000000000001,4.386613878255565E-4
0.05000000000000001,4.419596210355218E-4
0.05250000000000001,4.447850909554147E-4
0.055000000000000014,4.4713768234075574E-4
0.057500000000000016,4.490322540933315E-4
0.06000000000000002,4.50479033556829E-4
0.06250000000000001,4.5146564630213216E-4
0.06500000000000002,4.5206416803159804E-4
0.06750000000000002,4.522935124134525E-4
0.07000000000000002,4.5217946563188064E-4
0.07250000000000002,4.5174358340664147E-4
0.07500000000000002,4.510484633638063E-4
0.07750000000000003,4.501410748177975E-4
0.08000000000000003,4.489896623377381E-4
0.08250000000000003,4.476887323060029E-4
0.08500000000000003,4.462437565283929E-4
0.08750000000000004,4.446799020451347E-4
0.09000000000000004,4.4304293463737654E-4
0.09250000000000004,4.413109915756619E-4
0.09500000000000004,4.3954901278629157E-4
0.09750000000000004,4.3776110325980516E-4
0.10000000000000005,4.359644743598086E-4
0.10250000000000005,4.341439098361204E-4
0.10500000000000005,4.323413369059614E-4
0.10750000000000005,4.305578486322433E-4
0.11000000000000006,4.287835349391253E-4
0.11250000000000006,4.27043207713463E-4
0.11500000000000006,4.253355952249866E-4
0.11750000000000006,4.236634077589514E-4
0.12000000000000006,4.220273826956415E-4
0.12250000000000007,4.204153381749563E-4
0.12500000000000006,4.188509135429519E-4
0.12750000000000006,4.173195788918358E-4
0.13000000000000006,4.158241314605587E-4
0.13250000000000006,4.1436603968164794E-4
0.13500000000000006,4.12944982370633E-4
0.13750000000000007,4.115563572500089E-4
0.14000000000000007,4.102008597055823E-4
0.14250000000000007,4.08877561573293E-4
0.14500000000000007,4.0758823812420613E-4
0.14750000000000008,4.0631879578189147E-4
0.15000000000000008,4.050944427153511E-4
0.15250000000000008,4.03877713179098E-4
0.15500000000000008,4.02706461408858E-4
0.15750000000000008,4.0155270720982543E-4
0.1600000000000001,4.004266818376702E-4
0.1625000000000001,3.993213171303888E-4
0.1650000000000001,3.982465114216392E-4
0.1675000000000001,3.971902861229086E-4
0.1700000000000001,3.961547452146592E-4
0.1725000000000001,3.951372103380462E-4
0.1750000000000001,3.941438477548932E-4
0.1775000000000001,3.9317138690407E-4
0.1800000000000001,3.922159550865012E-4
0.1825000000000001,3.912828813641278E-4
0.1850000000000001,3.903661524964501E-4
0.1875000000000001,3.894686343726031E-4
0.1900000000000001,3.8858853243002177E-4
0.19250000000000012,3.877261760038067E-4
0.19500000000000012,3.86879099755536E-4
0.19750000000000012,3.860481119597927E-4
0.20000000000000012,3.8523252011246265E-4
0.20250000000000012,3.844320397342833E-4
0.20500000000000013,3.8364617523941404E-4
0.20750000000000013,3.828742458076336E-4
0.21000000000000013,3.821171412789225E-4
0.21250000000000013,3.813717099096982E-4
0.21500000000000014,3.8064320270671226E-4
0.21750000000000014,3.7992376827862345E-4
0.22000000000000014,3.792166504777558E-4
0.22250000000000014,3.785225941768181E-4
0.22500000000000014,3.7783845062307463E-4
0.22750000000000015,3.771677402680153E-4
0.23000000000000015,3.765092051250779E-4
0.23250000000000015,3.758562574695822E-4
0.23500000000000015,3.752201115383517E-4
0.23750000000000016,3.7459030386898965E-4
0.24000000000000016,3.7397008929947797E-4
0.24250000000000016,3.733601875579304E-4
0.24500000000000016,3.727603485055782E-4
0.24750000000000016,3.72171082134659E-4
0.25000000000000017,3.715848013807039E-4
0.25250000000000017,3.710139726247792E-4
0.25500000000000017,3.704502038927882E-4
0.2575000000000002,3.698917616318619E-4
0.2600000000000002,3.693431659550268E-4
0.2625000000000002,3.688044774071751E-4
0.2650000000000002,3.682704589823484E-4
0.2675000000000002,3.6774490001019195E-4
0.2700000000000002,3.672252600015836E-4
0.2725000000000002,3.667151316446332E-4
0.2750000000000002,3.662109183103415E-4
0.2775000000000002,3.657132873641963E-4
0.2800000000000002,3.6522199298066177E-4
0.2825000000000002,3.6473731734169363E-4
0.2850000000000002,3.642590290934335E-4
0.2875000000000002,3.637862110595096E-4
0.2900000000000002,3.633207892183962E-4
0.2925000000000002,3.628609119891205E-4
0.2950000000000002,3.624073487635479E-4
0.2975000000000002,3.619588491910669E-4
0.3000000000000002,3.615165228576253E-4
0.3025000000000002,3.6107890157699056E-4
0.3050000000000002,3.6064705156388523E-4
0.3075000000000002,3.60220483164833E-4
0.3100000000000002,3.5979905419552996E-4
0.3125000000000002,3.5938261238368873E-4
0.3150000000000002,3.589706811006077E-4
0.3175000000000002,3.585654713540162E-4
0.32000000000000023,3.5816516162375726E-4
0.32250000000000023,3.5776647944219556E-4
0.32500000000000023,3.573744837064507E-4
0.32750000000000024,3.569867163608152E-4
0.33000000000000024,3.566056061796903E-4
0.33250000000000024,3.56227462247322E-4
0.33500000000000024,3.558514269906828E-4
0.33750000000000024,3.5548457460161205E-4
0.34000000000000025,3.551173084759424E-4
0.34250000000000025,3.547563445841064E-4
0.34500000000000025,3.5439908481917434E-4
0.34750000000000025,3.5404778914957286E-4
